PK,Text
1091,"[Fall 2023] Apply for CS 170 Course Staff! Hey Everyone! Hope y'all are having a great Summer break! If you're interested in being a part of CS 170 course staff, we are now accepting applications for Readers for Fall 2023! Please make sure you've filled out the departmental ASE application: https://deptapps.eecs.berkeley.edu/ase/eecs/apply/f2023 And please also fill out the supplemental application: https://forms.gle/T4YxHhYWckmo4i8R8 We will be accepting applications on a rolling basis. Please follow up or reach out to us at cs170@berkeley.edu with any questions! Looking forward to a great Fall semester! ~ CS 170 Course Staff"
1075,"Grading Update. Hi all, We've noticed some inaccuracies in some of the questions and solutions for the final exam so we'll be making the following adjustments. q7.4.e: This question is too vague since it's possible for C and E to be in the same SCC and it's possible that they aren't. We did not specify they must necessarily be in different SCCs. Thus, we gave everyone credit for this question. q9.4: The answer could be False or True if P=NP depending on whether you assume the problems are decision problems or optimization problems. Therefore we gave both solutions full credit. q9.5: The answer could be `False` or `True if P=NP` depending on whether you assume the problems are decision problems or optimization problems. Therefore we gave both solutions full credit. We've updated the solutions to reflect this. There's no additional action you need to take at this time. We will be processing regrade requests shortly."
1046,"""Final Exam, HW12, HW13 Grades Published Update: when regrading question 7, please make sure you're regrading the question corresponding to the title of the question we gave, rather than the numbering given by gradescope. TLDR: Final Exam, HW12, HW13 Grades Published, submit regrade requests by Tuesday 5/16 at 11:59pm. Due to grading deadline, we cannot honor any late regrade requests for any reason. If you cannot see your final exam on gradescope, please make a private post stating your name, your SID, and the room you took your exam. Hi all, We have released your Final Exam, HW12, HW13 grades. Final Distribution: Final Exam Solutions: https://drive.google.com/file/d/1wASrOLF3Yd6FLTXh1bn-NLIm4Jh1iPsD/view?usp=sharing Final Exam Common Mistakes: https://docs.google.com/document/d/15hvUzyj4ESVQsi7rcC67wqy7oicffxA7sWMFcnZqXkA/edit?usp=sharing HW 12 Distribution: HW 13 Distribution: HW 12 and HW 13 Solutions: https://drive.google.com/drive/folders/1R0tNVQSW6UuEp1_9bz7RlaCyJUHN1oXj If you cannot see your final exam on gradescope, please make a private post stating your name and SID. Regrades: Regrades requests are open and they are due Tuesday 5/16 at 11:59pm. Due to grading deadline, we cannot honor any late regrade requests for any reason. You should submit a regrade request only after you have read the solutions, the common mistakes document, and the rubric, and determined that we misgraded your solution with respect to the rubric. We will not accept regrades that contest the rubric or argue for more points without citing the rubric. Post any alternate solutions below along with a proof of correctness. Regrades must follow the following format or they will not be considered: """"I think I should get <+ x points> for rubric item <quote rubric item text>. <quote lines from your solution which are relevant>. <explain any misinterpretation if needed>."""" (please don't include any other information) Please do not post on Edstem to ask if you should submit a regrade request unless you have an alternate solution that the rubric doesn't consider. Make the request if you think you should've got more points and we'll take a look at it. Followups that ask questions that this post already answers, excessive +1's or ask questions that should be directed to regrades (i.e. questions containing """"should I make a regrade request about ..."""") will be deleted to reduce clutter so that staff can find questions that require responses with more ease (a common response on the mid-semester survey is that there are too many followups that can be avoided by reading posts more carefully). That being said, feel free to ask questions or make jokes. FAQ (will keep updating this section): - Make a private post if you have an issue with your exam (eg, missing exam). Do not make a followup about this. - Details about the curve/passing cutoffs will not be finalized until after the final exam. Using individual assignment distributions along with Berkeleytime distributions can help you estimate your grade. Good job everyone - Please don't be demotivated by low raw scores as the class is curved. """
1026,"[grades NOT published yet] Regrade Logistics + MT2 Q10 update. Hi all, Congratulations on finishing your finals! Our current goal is to release HW 12, HW 13, and Final grades Monday morning. Due to the grade deadline, we will have a shorter than normal regrade window. The regrade window for HW 12, HW 13, and Final will be around 24 hours, likely due Tuesday night. We apologize in advance for the short window; however, we hope this will allow us to post final grades as soon as possible. Also, we have an update on Midterm 2 grading. For Q10 (Chess dominos), we realized that simply storing the number of columns as a parameter for the subproblem is sufficient for solving the problem. Hence, we have given full credit (for part (i)) to those who defined their subproblem based on columns (but not rows). If you have any further questions regarding your solution for MT Q10, please make a private post as soon as possible!"
914,"Scam email from me. Hi all I've gotten several messages today about an email people received from someone claiming to be me offering $350 for a Research Assistant position. In case you received this email, it is a scam email and is not actually from me. My email address is jswright@berkeley.edu , whereas that one is a gmail address. Sorry for any confusion! John"
871,"Final Review Sessions + Final Logistics. Hi Everyone! Review Sessions 1. Tuesday, May 2, 8:00pm-10:00pm @ The Wozniak Lounge (Soda-430): Topics: Reductions, Complexity, Approximation Algorithms Slides: https://docs.google.com/presentation/d/19jLbCH8u-41s2I6s-YzCss_yGJwMqagR32AtC4S6Qys/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/j/96187106516 Recording: https://drive.google.com/file/d/15IzZR4i9E-0veEF1m7ojizh7XRWleoEY/view?usp=share_link 2. Wednesday, May 3, 8:00pm-10:00pm @ The Wozniak Lounge (Soda-430): Topics: Bipartite Matching, Streaming Algorithms, Hashing, [more topics to be decided] Slides: https://docs.google.com/presentation/d/1-RJiSOAzk3U2OPrzN682sazxXmfScynWuMQzHZrPrxU/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/j/3759644356 Recording: https://drive.google.com/file/d/1FwfMFEB3g10sgVAplQA3UDRcTjBHE7Fd/view?usp=sharing Both review sessions will also be broadcast and recorded via Zoom just like the midterm review sessions. Final Exam Details The CS170 final exam is scheduled for 7 - 10pm on Tuesday, May 9. We are starting the exam at Berkeley Time (7:10pm), but please come by 7pm sharp. You can find the the venue where you will be taking the exam based on your last name: Pimentel Hall: Aa - Ku (inclusive on both sides) Lewis Hall 100: Kw - Ou (inclusive on both sides) Hearst Field Annex A1: Pa - Tr (inclusive on both sides) Soda 306: Ts - Xu (inclusive on both sides) Soda 438: Ya - Zi (inclusive on both sides) The final will mainly consist of long answers with a mix of short and mechanical answers included. Scope: The scope of this exam everything covered in lectures except for the last Special Topics lecture on 4/28. All algorithms mentioned in lectures and homeworks are in scope, unless otherwise specified. Note that random algorithms are not in scope (ie Monte Carlo vs Las Vegas algorithms, quick sort, Karger's algorithm, random algorithms in discussion 13). However, randomness and probability as they relate to hashing, streaming, sketching, median finding, and other algorithms explicitly covered in class are in scope. This will be a paper & pencil-based exam. You may bring three 1-page, double-sided cheat sheets. The cheat sheets must be handwritten, but you may choose to write on an electronic device, then print, or write on paper directly. No electronic devices are allowed in the exam. The exam booklet will be distributed starting 7:05PM for you to fill out the first page. Please do not open the booklet until we announce the start of the exam. The exam will start at 7:10PM sharp, and will end at 10PM. You should stop writing immediately as soon as time is up. Good luck with the final :)"
2,"Welcome to CS170! We would like to welcome you to Spring 2023 iteration of CS 170: Efficient Algorithms and Intractable Problems, taught by Professor Prasad Raghavendra and Professor John Wright. Syllabus Please read the course syllabus (website still WIP, refer to this post for any reference to dates, times and links) which has the majority of the course logistics. Lectures As indicated in this semester's course catalogue, the lecture will be held in Lewis 100 every Monday, Wednesday and Friday from 11:00am to 11:59am. Lectures will be asynchronously recorded. Examinations As of now, exams are scheduled as follows: Midterm 1: Monday, 2023 February 27, 19:00 - 21:00 (7pm-9pm) Midterm 2: Wednesday, 2023 April 5, 19:00 - 21:00 (7pm-9pm) Final: Tuesday, 2023 May 09, 19:00 - 22:00 (7pm-10pm) (Group 8) We are not planning on offering examinations at an alternate time under any circumstance. If you have a conflict, ""ask the other class for an alternate exam, or if they say no, choose which of the two classes to take this term and drop the other."" We are not planning on offering examinations remotely. Exam-specific policy will be released closer to the exam dates. Cancellation of Project, and Grading Policy This semester, we have decided to remove the CS170 project that has decade-long history. Historically, project consists 5% of students' total grade. We are also discussing the possibility of adjusting the weight of homework. We will communicate with you about the grading breakdown policy as soon as we explored the full complexity of such an adjustment and made considerate decisions. Prerequisites As outlined in the course catalogue, we will not enforce course prerequisites for this semester. Should you find certain materials challenging potentially because of missed prerequisites, please consult resources from that class. Communication and Gradescope We will use Edstem (this platform) for questions and online discussion and Gradescope for assignment submission and examination release. You will see a bCourses site on your bCourses dashboard but it will not be used as a form of communication – instead, you can gain access to Edstem and bCourses by going to the bCourses site and clicking ""Ed Discussion"" or ""Gradescope"" on the left. However, if you are enrolled in CalCentral but not bCourses site (which you shouldn't), please contact staff. bCourses/Kaltura also may or may not be used to publish course recordings as in the past there were occasions that for course recordings to become available for upload on YouTube, they must be closed-captioned first for compliance (see NAD v. Harvard) and such process take time. Please contact staff if you are auditing or are attending this course but not enrolled through CalCentral (e.g. non-BISP exchange students). Emails If you find yourself uncomfortable making a private Ed post addressing your issue, for logistics and administrative questions only, you may also email cs170@, a private email that is only seen by the Head TAs and Professors. Homework 1 Homework 1 (our first homework, which is not HW0) will be released on next Tuesday on Jan 24, and will be due on the next Monday after it was released (Jan 30). Discussion and Office Hours No Discussion or Office Hour will take place this week (1/16-1/20). Discussions and Office Hours will start next week. More details on this will be added in the next couple days. Course Textbook Each lecture will will be accompanied by readings from the textbook Algorithms by S. Dasgupta, C. H. Papadimitriou, and U. V. Vazirani, which will be linked on the website. Accommodations The University of California - Berkeley provides reasonable accommodations to students with disabilities through the Disabled Students’ Program (https://dsp.berkeley.edu). For more information regarding these services, please contact the staff in the Disabled Students’ Program via telephone at 510.642.0518, visit in person at 260 Cesar Chavez Student Center, or email at dsp@berkeley.edu. If you are registered with the Disabled Students Program and are entitled to any accommodations, please contact staff at your earliest convenience. In compliance with Education code, Section 92640(a), it is the official policy of the University of California at Berkeley to permit any student to undergo a test or examination, without penalty, at a time when that activity would not violate the student's religious creed, unless administering the examination at an alternative time would impose an undue hardship which could not reasonably have been avoided. Requests to accommodate a student's religious creed by scheduling tests or examinations at alternative times shall be submitted directly to the faculty member responsible for administering the examination. Reasonable common sense, judgment and the pursuit of mutual goodwill should result in the positive resolution of scheduling conflicts. The regular campus appeals process applies if a mutually satisfactory arrangement cannot be achieved. (See https://sa.berkeley.edu/uga/religion for detailed information). Please contact staff at your earliest convenience if you believe EDC 92640(a) may apply to you. We are excited to see and meet you all throughout the course – looking forward to a fun and educational semester!"
16,"Discussion Schedule Now Available! Greetings! Discussion schedule now available at https://cs170.org/schedule/discussions/ Still workin on OH schedule, hang tight! T stands for Tuesday"
38,"OH / Homework Party Schedule. Greetings! Here's the schedule for OH / Homework Parties. This will be updated on our website on the calendar shortly. Schedule Mondays 10:00 - 11:00 and 12:00 - 16:00, Homework Party Mondays 13:00-15:00, Homework Party + Debugging Help Wednesdays 10:00 - 11:00 and 13:00-18:00, Office Hours Wednesday 16:00-18:00, Office Hours + Debugging Help Thursdays 11:00 - 17:00, Office Hours Fridays 10:00 - 11:00 Office Hours, 12:00 - 17:00 Homework Party Fridays 14:00-16:00, Homework Party + Debugging Help Location All are in Cory Courtyard Cory Courtyard is an open space in the middle of the 2nd floor of Cory (purple box). There are two entrances to the courtyard on the 2nd floor (north/south, pink arrows). Format For office hours, we use the office hours queue https://oh.cs170.org/. Please submit a ticket and a course staff will help you shortly. Typically there are 2 course staff members at a time during office hours. For homework parties, there will be tables designated for specific homework problems. Course staff members will walk around all the tables and help out each table. Typically there are 4 course staff members at a time during homework parties."
130,"Homework Solutions. Every week, after the homework submission deadline, we will upload the solutions to the following google drive link: CS 170 Spring 2023 Homework Solutions. (Note: you need to use your Berkeley email to access this folder)"
